분류,상호명,메뉴,가격
한식,신가네,돼지고기김치찌개,7000
한식,신가네,참치김치찌개,7000
한식,신가네,된장찌개,7000
한식,신가네,해물된장찌개,7500
한식,신가네,순두부찌개,7000
한식,신가네,해물순두부찌개,7500
한식,신가네,부대찌개,7500
한식,신가네,콩비지찌개,7500
한식,신가네,뚝배기불고기,7500
한식,신가네,뚝배기닭볶음탕,7500
한식,신가네,육개장,7500
한식,신가네,갈비탕,7500
한식,신가네,한방반계탕,7500
한식,신가네,한방삼계탕,12500
한식,신가네,뚝배기제육,7000
한식,신가네,제육정식,8000
한식,신가네,산채비빔밥,7000
한식,신가네,돌솥비빔밥,7500
한식,신가네,김치볶음밥,7500
한식,신가네,떡국,6500
한식,신가네,떡만두국,7000
한식,신가네,등심돈까스,7000
한식,신가네,치즈돈까스,8000
한식,신가네,콩국수,7500
한식,신가네,돼지고기 김치전골,20000
한식,신가네,부대전골,24000
한식,신가네,닭볶음탕,24000
한식,신가네,제육볶음,24000
한식,청진옥,불고기백반정식,8000
한식,청진옥,제육백반정식,8000
한식,청진옥,오징어백반정식,80000
한식,청진옥,닭도리탕,20000
한식,청진옥,청국장,70000
한식,부대통령,뚝배기부대찌개,4800
한식,부대통령,뚝배기제육볶음,4800
한식,부대통령,뚝배기김치찌개,4800
한식,부대통령,뚝배기순두부찌개,3800
한식,부대통령,뚝배기된장찌개,3800
한식,부대통령,고기만두,2000
한식,부대통령,닭갈비,48000
한식,보용만두,쫄면,5000
한식,보용만두,비빔냉면,5000
한식,보용만두,물냉면,4000
한식,보용만두,비빔국수,5500
한식,보용만두,잔치국수,5000
한식,보용만두,냉국수,5500
한식,보용만두,김밥,3500
한식,보용만두,라면,3500
한식,보용만두,떡라면,4000
한식,보용만두,만두라면,4500
한식,보용만두,오뎅,1500
한식,보용만두,우동,4500
한식,보용만두,김치우동,4500
한식,보용만두,돈까스,6000
한식,보용만두,치즈돈까스,7500
한식,보용만두,검은콩국수,6500
한식,보용만두,고기손만두,4000
한식,보용만두,김치손만두,4000
한식,보용만두,군만두,4500
한식,보용만두,김치군만두,4500
한식,보용만두,만두야채무침,5500
한식,보용만두,만두국,6000
한식,보용만두,고기만두국,6000
한식,보용만두,김치만두국,6000
한식,보용만두,얼큰만두국,6000
한식,보용만두,떡만두국,6000
한식,보용만두,떡국,5500
한식,보용만두,비빔밥,6000
한식,보용만두,참치김치덮밥,6000
한식,보용만두,제육덮밥,6500
한식,보용만두,낙지덮밥,6500
한식,보용만두,탄산음료,1000
한식,런치박스,5분떡볶이,4000
한식,런치박스,웨지감자튀김,4000
한식,런치박스,옛날도시락,4500
한식,런치박스,돼지불고기덮밥,5000
한식,런치박스,치킨마요덮밥,5000
한식,런치박스,비엔나소시지덮밥,5000
한식,런치박스,함박덮밥,5000
한식,런치박스,해물완자덮밥,5000
한식,런치박스,불닭덮밥,5500
한식,런치박스,치즈불닭덮밥,6000
한식,런치박스,짜장덮밥,5500
한식,런치박스,카레덮밥,5500
한식,런치박스,참치마요덮밥,5500
한식,런치박스,소불고기덮밥,6500
한식,런치박스,훈제핫도그샌드,4500
한식,런치박스,할라피뇨핫도그샌드,4500
한식,런치박스,현미핫도그샌드,4500
한식,런치박스,견과핫도그샌드,4500
한식,전주본가,전주콩나물국밥,6000
한식,전주본가,비빔밥,6000
한식,전주본가,순두부찌개,6000
한식,전주본가,김치찌개,6000
한식,전주본가,된장찌개,6000
한식,전주본가,수제왕돈가스,6000
한식,전주본가,치즈돈가스,7000
한식,전주본가,장터소고기국밥,7000
한식,전주본가,뚝배기소불고기,7000
한식,전주본가,생삼겹살,11000
한식,전주본가,차돌백이,13000
한식,전주본가,매운갈비찜,25000
한식,전주본가,제육두루치기,7000
한식,전주본가,왕냉면,5000
한식,전주본가,계란찜,3000
한식,전주본가,볶음밥,3000
한식,놋그릇,육개장,7000
한식,놋그릇,육칼국수,7000
한식,놋그릇,김치찜,20000
한식,놋그릇,왕갈비탕,10000
한식,놋그릇,메밀콩국수,7000
한식,놋그릇,메밀냉국수,6000
한식,놋그릇,메밀비빔국수,6000
한식,놋그릇,메밀온국수,6000
한식,놋그릇,수제돈가스,6000
한식,놋그릇,치즈돈가스,7000
한식,놋그릇,메밀전병,6000
한식,놋그릇,메밀왕만두,6000
한식,놋그릇,메밀찐만두,3000
한식,놋그릇,메밀찐빵,4000
한식,마왕족발,마왕통구이,27000
한식,마왕족발,마왕보쌈구이,27000
한식,마왕족발,마왕불보쌈,33000
한식,마왕족발,마왕불족발,33000
한식,마왕족발,마왕갈릭족발,33000
한식,마왕족발,마왕소금구이,30000
한식,마왕족발,족발수육,38000
한식,마왕족발,족발볶음밥,6000
한식,마왕족발,비빔국수,6000
한식,마왕족발,열무국수,6000
한식,마왕족발,마왕국수,6000
한식,마왕족발,나가사끼짬뽕,12000
한식,마왕족발,돼지껍데기볶음,10000
한식,마왕족발,미니족구이,20000
한식,마왕족발,무침족발,20000
한식,마왕족발,쟁반국수,12000
한식,마왕족발,냉채족발,30000
한식,찌개마을,부대찌개,7000
한식,찌개마을,동태찌개,10000
한식,찌개마을,제육볶음,8000
한식,찌개마을,버섯전골,10000
한식,찌개마을,된장찌개,7000
한식,찌개마을,김치찌개,7000
한식,찌개마을,참치찌개,7000
한식,찌개마을,청국장,7000
한식,찌개마을,순두부,7000
한식,김명자낙지마당,낙지볶음,10000
한식,김명자낙지마당,산낙지볶음,19000
한식,김명자낙지마당,낙지전골,15000
한식,김명자낙지마당,산낙지전골,19000
한식,김명자낙지마당,산낙지연포탕,19000
한식,김명자낙지마당,산낙지철판,19000
한식,김명자낙지마당,낙지찜,35000
한식,김명자낙지마당,산낙지찜,45000
한식,김명자낙지마당,낙치철판,40000
한식,김명자낙지마당,산낙지무침,38000
한식,김명자낙지마당,산낙지회,35000
한식,김명자낙지마당,탕탕이,18000
한식,김명자낙지마당,어린이낙지볶음밥,6000
한식,김명자낙지마당,돌솥굴밥,9000
한식,김명자낙지마당,매생이굴국밥,9000
한식,김명자낙지마당,돌솥굴밥정식,12000
한식,김명자낙지마당,매생이정식,12000
한식,김명자낙지마당,굴전,10000
한식,좌우지간,왕만두,6000
한식,좌우지간,떡만두국,6000
한식,좌우지간,만두국,6000
한식,좌우지간,물냉면,6000
한식,좌우지간,비빔냉면,6000
한식,좌우지간,칼국수,7000
한식,좌우지간,만두전골,15000
한식,해오름,해오름보쌈,20000
한식,해오름,매운돼지등갈비찜,11000
한식,해오름,비빔공기,2000
한식,해오름,김치찌개,1000
한식,해오름,백반정식,6000
한식,해오름,부대찌개,7000
한식,해오름,보쌈정식,8000
한식,해오름,제육볶음,9000
한식,생고기대학교,소고기무한리필,19900
한식,생고기대학교,소한마리,29900
한식,생고기대학교,돼지고기무한리필,10900
한식,생고기대학교,돼지한마리,19900
한식,생고기대학교,냉면,5000
한식,생고기대학교,스돈스테이크,9900
한식,생고기대학교,스돈육회,12000
한식,생고기대학교,스돈물회,12000
한식,생고기대학교,육회초밥,12000
한식,생고기대학교,육회비빔밥,6000
한식,생고기대학교,우삼겹정식,7000
한식,남대감,소고기무한리필,18900
한식,남대감,생삼겹살무한리필,12900
한식,남대감,삼겹살무한리필,10000
한식,남대감,삼겹살무한리필,10900
한식,남대감,고추장불고기,6500
한식,수누리,뼈다귀전골,30000
한식,수누리,뼈해물찜,37000
한식,수누리,뼈해장국,7000
한식,수누리,불뚝배기,7000
한식,수누리,뼈순이비빔밥,7000
한식,수누리,왕냉면,6000
한식,꽃찬찜닭,안동찜닭,19000
한식,꽃찬찜닭,매콤찜닭,19000
한식,꽃찬찜닭,불찜닭,20000
한식,꽃찬찜닭,순살찜닭,19000
한식,꽃찬찜닭,순살불찜닭,20000
한식,꽃찬찜닭,간장등뼈찜,20000
한식,꽃찬찜닭,매콤등뼈찜,20000
한식,본양념소갈비,갈비탕,8000
한식,본양념소갈비,육회비빔밥,7000
한식,본양념소갈비,냉면,5000
한식,봉구스밥버거,햄치즈봉에그,3500
한식,봉구스밥버거,쏘야해봉이,3200
한식,봉구스밥버거,치즈해봉이,3200
한식,봉구스밥버거,햄쏘야,2500
한식,봉구스밥버거,햄치즈쏘야,3000
한식,봉구스밥버거,에그치즈쏘야,3000
한식,봉구스밥버거,마요봉순이,3000
한식,봉구스밥버거,햄봉순이,3000
한식,봉구스밥버거,에그햄치즈봉순이,4000
한식,봉구스밥버거,에그김치제육,3600
한식,봉구스밥버거,에그치즈제육,3800
한식,봉구스밥버거,더블치즈제육,3800
한식,봉구스밥버거,더블치즈닭갈비,4000
한식,봉구스밥버거,치즈마요닭갈비,4000
한식,봉구스밥버거,에그치즈닭갈비,4000
한식,봉구스밥버거,매콤마요소불고기,3500
한식,봉구스밥버거,에그김치소불고기,3800
한식,봉구스밥버거,에간장치킨,3500
한식,봉구스밥버거,에간장치즈떡갈비,3500
한식,봉구스밥버거,김치통살돈까스,2800
한식,봉구스밥버거,에그통살돈까스,3000
한식,봉구스밥버거,치즈통살돈까스,3000
한식,봉구스밥버거,마요칠리치킨,3500
한식,봉구스밥버거,치즈치킨마요,3500
한식,봉구스밥버거,에그치킨마요,3500
한식,봉구스밥버거,치즈칠리치킨,3500
한식,봉구스밥버거,봉구킹,4500
한식,봉구스밥버거,봉구퀸,4500
한식,봉구스밥버거,추억의제육도시락,3500
한식,봉구스밥버거,추억의닭갈비도시락,3500
한식,봉구스밥버거,추억의소불고기도시락,3500
한식,봉구스밥버거,김치돼지불백,3300
한식,봉구스밥버거,에그돼지불백,3500
한식,봉구스밥버거,치즈맛있새우,4000
한식,봉구스밥버거,야채맛있새우,3800
한식,봉구스밥버거,김치소고기고추장,4100
한식,봉구스밥버거,청양소고기고추장,4300
한식,봉구스밥버거,멸치소고기고추장,4300
한식,봉구스밥버거,마요오므라이선,3500
한식,봉구스밥버거,해쉬오므라이스,3700
한식,봉구스밥버거,에헴,2500
한식,봉구스밥버거,봉구스,2000
한식,봉구스밥버거,햄,2500
한식,봉구스밥버거,치즈,2500
한식,봉구스밥버거,햄치즈,3000
한식,봉구스밥버거,제육,2800
한식,봉구스밥버거,치즈제육,3300
한식,봉구스밥버거,김치제육,3100
한식,봉구스밥버거,닭갈비,3000
한식,봉구스밥버거,치즈닭갈비,3500
한식,봉구스밥버거,소불고기,3000
한식,봉구스밥버거,김치불고기,3300
한식,봉구스밥버거,청양불고기,3500
한식,봉구스밥버거,통살돈까스,2500
한식,봉구스밥버거,통살돈까스마요,3000
한식,봉구스밥버거,칠리치킨,3000
한식,봉구스밥버거,치킨마요,3000
한식,봉구스밥버거,마요떡갈비,3000
한식,봉구스밥버거,김치떡갈비,2800
한식,봉구스밥버거,치즈떡갈비,3000
한식,봉구스밥버거,봉순이,2500
한식,봉구스밥버거,쏘야,2000
한식,봉구스밥버거,바삭멸치,2500
한식,봉구스밥버거,추억의도시락,3000
한식,봉구스밥버거,해봉이,2700
한식,봉구스밥버거,돼지불백,3000
한식,봉구스밥버거,맛있새우,3500
한식,봉구스밥버거,소고기고추장,3800
한식,봉구스밥버거,오므라이스,3000
한식,한솥,시그니처도시락,13000
한식,한솥,매화(치킨연어구이),10000
한식,한솥,매화(순살고등어데리야끼),10000
한식,한솥,진달래,7000
한식,한솥,개나리(순살고등어데리야끼),8000
한식,한솥,개나리(순살고등어조림),8000
한식,한솥,큐브스테이크필라프,6300
한식,한솥,나시고랭,4500
한식,한솥,순살고등어조림,6000
한식,한솥,데미그라스함박스테이크,5800
한식,한솥,깐깐도시락,5800
한식,한솥,깐풍기도시락,4300
한식,한솥,새치고기고기,6000
한식,한솥,돈치고기고기,5200
한식,한솥,고기고기,3800
한식,한솥,동백,5000
한식,한솥,돈치불고기,4700
한식,한솥,치킨제육,4300
한식,한솥,국화,4000
한식,한솥,돈까스도련님,3800
한식,한솥,제육볶음,3700
한식,한솥,도련님,3600
한식,한솥,왕치킨마요,4200
한식,한솥,빅치킨마요,3400
한식,한솥,돈치마요,3400
한식,한솥,참치샐러드마요,3300
한식,한솥,치킨샐러드마요,3300
한식,한솥,치킨마요,2800
한식,한솥,참치마요덮밥,2800
한식,한솥,소불고기카레,4300
한식,한솥,돈까스카레,3900
한식,한솥,카레도시락,2800
한식,한솥,소불고기철판볶음밥,4500
한식,한솥,한솥철판볶음밥,3700
한식,한솥,소고기육개장,4500
한식,한솥,묵은지김치찌개,4300
한식,한솥,소불고기덮밥,4200
한식,한솥,왕카레돈까스덮밥,5500
한식,한솥,새우돈까스덮밥,3800
한식,한솥,돈까스덮밥,3600
한식,한솥,치즈불닭비빔밥,5500
한식,한솥,불닭비빔밥,4500
한식,한솥,소불고기감초고추장비빔밥,4800
한식,한솥,시골제육두부강된장비빔밥,4800
한식,한솥,참치야채감초고추장,3200
한식,한솥,열무두부강된장비빔밥,3800
한식,오봉도시락,통민물장어도시락,20000
한식,오봉도시락,찹스테이크도시락,13000
한식,오봉도시락,설악산도시락,6500
한식,오봉도시락,지리산도시락,8000
한식,오봉도시락,한라산도시락,10000
한식,오봉도시락,백두산도시락,12000
한식,오봉도시락,김치찌개세트,4800
한식,오봉도시락,육개장세트,4800
한식,오봉도시락,김치찌개+밥,3800
한식,오봉도시락,육개장+밥,3800
한식,오봉도시락,포크칠리도시락,3900
한식,오봉도시락,돈까스도시락,3600
한식,오봉도시락,소불고기도시락,4500
한식,오봉도시락,제육볶음도시락,3700
한식,오봉도시락,아리랑도시락,3800
한식,오봉도시락,무궁화도시락,3800
한식,오봉도시락,삼천리도시락,4000
한식,오봉도시락,천하도시락,3800
한식,오봉도시락,일품도시락,3800
한식,오봉도시락,민들레도시락,4600
한식,오봉도시락,매콤갈비도시락,5500
한식,오봉도시락,불닭치킨마요,5500
한식,오봉도시락,와사비마요,3600
한식,오봉도시락,왕치킨마요,3400
한식,오봉도시락,치킨마요,2800
